query,page,position,impressions,clicks
3238 si century laminates,/products/century-laminates-3238-si-silica-grey,8.3,3,0
3284 su century laminates,/products/century-laminates-3284-su-smoke-green,8.7,3,0
14666 merino,/products/merino-14666-urban-ashwood,9,3,0
40268 wtn,/products/merino-40268-stagger-marble,9.3,3,0
467 hdg mermaid,/products/greenlam-467-mermaid,10,3,0
163 su century laminates,/products/century-laminates-163-su-beige,10.3,3,0
22127 brown merino,/products/merino-22127-brown,11,3,0
21061 peanut merino,/products/merino-21061-peanut,11.3,3,0
22112 merino,/products/merino-22112-adriatic-blue,11.3,3,0
22172 merino,/products/merino-22172-enigma,12,3,0
22137 cappuccino,/products/merino-22137-cappuccino,14,3,0
21941 candy white,/products/merino-g1941-candy-white-glint,16.7,3,0
21141 snow white,/products/merino-21141-snow-white,1,2,0
21581 royal white,/products/merino-21581-royal-white,1,2,0
44789,/products/merino-44789-rusty-oxid-metal,4,2,0
27111 lv ivory white,/products/merino-27111-ivory-white,5,2,0
49937,/products/merino-49937-sparking-silk-gold,5,2,0
27249,/products/merino-27249-sage-grey,5.5,2,0
85112,/products/merino-85112-alankrit,5.5,2,0
brazilian sand 168 su,/products/century-laminates-168-su-brazilian-sand,5.5,2,0
27169 merino,/products/merino-27169-lead-grey,6,2,0
288.su,/products/century-laminates-288-su-dream-green,6,2,0
5106 greenlam,/products/greenlam-5106-palermo-oak,6,2,0
10164,/products/merino-10164-cherry-beech,6.5,2,0
27247 merino,/products/merino-27247-stone,6.5,2,0
3246 lu century laminates,/products/century-laminates-3246-lu-flint,6.5,2,0
27151 lv harbor grey,/products/merino-27151-harbor-grey,7,2,0
85106,/products/merino-85106-gajamudra,7,2,0
1982 smt blanco cream,/products/virgo-1982-smt-blanco-cream,7.5,2,1
127 su,/products/century-laminates-127-su-almond-ivory,7.5,2,0
21122,/products/merino-21122-kingfisher-blue,7.5,2,0
27151 harbor grey,/products/merino-27151-harbor-grey,7.5,2,0
14662 titter walnut,/products/merino-14662-titter-walnut,8,2,0
22212 toned blue,/products/merino-22212-toned-blue,8,2,0
14639,/products/merino-14639-havel-pearwood,8.5,2,0
4427 su century,/products/century-laminates-4427-su-cairo-walnut,8.5,2,0
4517 su century,/products/century-laminates-4517-su-indiana-hickory,8.5,2,0
american vertical walnut 14538,/products/merino-14538-american-vertical-walnut,8.5,2,0
14602 rh gigan lowa walnut,/products/merino-14602-gigan-lowa-walnut,9,2,0
1982 smt blanco cream,/products/virgo-1982-shn-blanco-cream,9,2,0
272 sat cloud,/products/greenlam-272-cloud,9,2,0
3171 lu century laminates,/products/century-laminates-3171-lu-mudpie,9,2,0
49916 merino,/products/merino-49916-ivory-frost,9,2,0
22017 merino,/products/merino-22017-parakeet,9.5,2,0
22153 laminate,/products/merino-22153-saga-green,9.5,2,0
44790,/products/merino-44790-fade-concreto,9.5,2,0
+44755,/products/merino-44755-tan-cambric,10,2,0
157 su,/products/century-laminates-157-su-ceramic,10,2,0
21019 merino,/products/merino-21019-folkstone-grey,10,2,0
3852 hg century laminates,/products/century-laminates-3852-hg-sagrada-marble,10,2,0
10526 merino,/products/merino-10526-white-pabelo-acacia,10.5,2,0
10852 merino,/products/merino-10852-siam-novara-wood,10.5,2,0
14644 merino,/products/merino-14644-laural-oak-whirl,10.5,2,0
21155 caramel,/products/merino-21155-caramel,10.5,2,0
3531 su century,/products/century-laminates-3531-su-tyrol-pine,10.5,2,0
44774 merino,/products/merino-44774-tramac-twill,10.5,2,0
21352 merino,/brands/merino,11,2,0
22107 vl,/products/merino-22107-british-buff,11,2,0
3238 su century laminates,/products/century-laminates-3238-si-silica-grey,11,2,0
21027 ft merino price,/products/merino-21027-irish-cream,11.5,2,0
adriatic blue 22112,/products/merino-22112-adriatic-blue,11.5,2,0
14661 merino,/products/merino-14661-glaston-walnut,14,2,0
5081 sud snuff elm,/products/greenlam-5081-snuff-elm,16,2,0
10099 merino,/products/merino-10099-alaskan-walnut,2,1,0
49944 merino,/products/merino-49944-silver-frost,2,1,0
+44789,/products/merino-44789-rusty-oxid-metal,3,1,0
240,/products/greenlam-240-eucalyptus,3,1,0
93415,/products/century-laminates-93415-nh-berger-walnut,4,1,0
101 su,/products/century-laminates-101-su-white,5,1,0
240 sud eucalyptus,/products/greenlam-240-eucalyptus,5,1,0
44793 merino,/products/merino-44793-vintage-cuero,5,1,0
712 n,/products/century-laminates-712-n-nicewood,5,1,0
85107,/products/merino-85107-jharokha,5,1,0
british buff 22107,/products/merino-22107-british-buff,5,1,0
175 sud,/products/greenlam-175-heather,6,1,0
21109,/products/merino-21109-moss-grey,6,1,0
27151 merino,/products/merino-27151-harbor-grey,6,1,0
5828,/products/century-laminates-5828-su-rafia,6,1,0
121 su,/products/century-laminates-121-su-ivory,7,1,0
14542 merino,/products/merino-14542-brazilian-horizontal-walnut,7,1,0
21007 oyster merino,/products/merino-21007-oyster,7,1,0
240 hdg eucalyptus,/products/greenlam-240-eucalyptus,7,1,0
85114,/products/merino-85114-jhoomar,7,1,0
10195 nice cherry,/products/merino-10195-nice-cherry,8,1,0
14975 merino,/brands/merino,8,1,0
1982 smt blanco cream,/products/virgo-1982-mlr-blanco-cream,8,1,0
20297,/products/greenlam-20297-blue-galaxy,8,1,0
21023 merino,/products/merino-21023-dark-citrus,8,1,0
21114 merino,/products/merino-21114-bubblegum,8,1,0
21313 fern green,/products/merino-21313-fern-green,8,1,0
3284 si century laminates,/products/century-laminates-3284-si-smoke-green,8,1,0
"10,699",/products/merino-10699-mahagony,9,1,0
108 su,/products/century-laminates-108-su-off-white,9,1,0
14587 merino,/products/merino-14587-smooth-leaved-elm,9,1,0
158 lu,/products/century-laminates-158-lu-taupe,9,1,0
22153 ft saga green,/products/merino-22153-saga-green,9,1,0
3922 lu century laminates,/products/century-laminates-3922-lu-sunrise-glacier,9,1,0
44754 merino,/products/merino-44754-cloudy-cambric,9,1,0
5101 vrb greenlam,/products/greenlam-5101-horizon-elm-beige,9,1,0
5334 olm canyon walnut,/products/greenlam-5334-canyon-walnut,9,1,0
98995,/products/merino-98995-cuppric-mirror,9,1,0
99989 mt steel,/products/merino-99989-steel,9,1,0
beige 163 lu,/products/century-laminates-163-lu-beige,9,1,0
10448 merino,/brands/merino,10,1,0
14191 merino,/products/merino-14191-kamet-lavito-walnut,10,1,0
14533,/products/merino-14533-nogal-olmo-walnut,10,1,0
14533 merino,/products/merino-14533-nogal-olmo-walnut,10,1,0
157 su century laminates,/products/century-laminates-157-su-ceramic,10,1,0
1937 shg kashmir,/products/virgo-1937-shg-kashmir,10,1,0
1982 smt blanco cream,/products/virgo-1982-shg-blanco-cream,10,1,0
21027 ft irish cream,/products/merino-21027-irish-cream,10,1,0
21067,/products/merino-21067-sunflower,10,1,0
21077 merino,/products/merino-21077-sandal,10,1,0
21092 merino,/products/merino-21092-sky-blue,10,1,0
21125 merino,/brands/merino,10,1,0
21142 merino,/products/merino-21142-polar-blue,10,1,0
21161,/products/merino-21161-ceramic,10,1,0
21481 merino,/products/merino-21481-neo-white-lily,10,1,0
22067 merino,/products/merino-22067-morning-glow,10,1,0
22079 merino,/products/merino-22079-dove-grey,10,1,0
3846 hg century laminates,/products/century-laminates-3846-hg-white-marble,10,1,0
40268 ft,/products/merino-40268-stagger-marble,10,1,0
40475 merino,/products/merino-40475-blanco-ibiza,10,1,0
44704,/products/merino-44704-misty-dreams-white,10,1,0
44761 merino,/products/merino-44761-igneous-micas,10,1,0
49907 merino,/products/merino-49907-pale-damask,10,1,0
49960,/products/merino-49960-handspun-cambric,10,1,0
5375 saturno walnut,/products/greenlam-5375-saturno-walnut,10,1,0
5594 sat olympia,/products/greenlam-5594-olympia,10,1,0
946 sud shell,/products/greenlam-946-shell,10,1,0
9606 vrb xyloid teak,/products/greenlam-9606-xyloid-teak,10,1,0
10894 merino,/products/merino-10894-teak-exotica,11,1,0
21007 merino,/products/merino-21007-oyster,11,1,0
21103 jolly green merino,/products/merino-21103-jolly-green,11,1,0
21135 merino,/brands/merino,11,1,0
22115 merino,/products/merino-22115-fiesta-rose,11,1,0
2416 np century laminates,/products/century-laminates-2416-np-chikhali-walnut,11,1,0
40268 wtn merino,/products/merino-40268-stagger-marble,11,1,0
40475 mr+ merino,/products/merino-40475-blanco-ibiza,11,1,0
44752 merino,/products/merino-44752-white-cambric,11,1,0
44753 merino,/products/merino-44753-hazel-cambric,11,1,0
9003 brd bronze foil,/products/greenlam-9003-bronze-foil,11,1,0
11103 merino,/brands/merino,12,1,0
14583 merino,/products/merino-14583-american-horizontal-walnut,12,1,0
146 sat oatmeal,/products/greenlam-146-oatmeal,12,1,0
21028 merino,/products/merino-21028-chocolate,12,1,0
225 lu century laminates,/products/century-laminates-225-lu-silver-grey,12,1,0
449 su century laminates,/products/century-laminates-449-su-urban-teak,12,1,0
austin lincoln 710 plywood,/products/austin-lincoln-710-ply,13,1,0
21022 merino,/products/merino-21022-midnight-blue,15,1,0
22137 merino,/products/merino-22137-cappuccino,15,1,0
3238,/products/century-laminates-3238-lu-silica-grey,15,1,0
21022 midnight blue,/products/merino-21022-midnight-blue,16,1,0
22107 mr+ british buff,/products/merino-22107-british-buff,16,1,0
21028,/products/merino-21028-chocolate,17,1,0
21042,/products/merino-21042-lavender,17,1,0
22137 cappuccino merino,/products/merino-22137-cappuccino,17,1,0
22137 hgl cappuccino merino,/products/merino-22137-cappuccino,17,1,0
almond ivory 127 lu,/products/century-laminates-127-si-almond-ivory,17,1,0
14662 merino,/products/merino-14662-titter-walnut,18,1,0
14178 merino,/products/merino-14178-cherry-cadiz-walnut,19,1,0
21027 irish cream,/products/merino-21027-irish-cream,20,1,0
